"File","Line","Snippet","GlobalRequireRoleUse","LikelyViolation"
"excellence-backend\src\modules\app-update\app-update.routes.ts","7","router.get('/policy', controller.getPolicy);","False","True"
"excellence-backend\src\modules\auth\auth.routes.ts","12","router.post('/otp/send', validate(sendOtpSchema), authController.sendOtp);","False","True"
"excellence-backend\src\modules\auth\auth.routes.ts","13","router.post('/otp/verify', validate(verifyOtpSchema), authController.verifyOtp);","False","True"
"excellence-backend\src\modules\auth\auth.routes.ts","14","router.post('/login', validate(loginSchema), authController.login);","False","True"
"excellence-backend\src\modules\auth\auth.routes.ts","15","router.post('/password/reset', validate(passwordResetSchema), authController.resetPassword);","False","True"
"excellence-backend\src\modules\auth\auth.routes.ts","18","router.post('/refresh', authController.refreshToken);","False","True"
"excellence-backend\src\modules\auth\auth.routes.ts","21","router.post('/logout', authenticateJWT, authController.logout);","False","True"
"excellence-backend\src\modules\auth\auth.routes.ts","22","router.get('/me', authenticateJWT, authController.getMe);","False","True"
"excellence-backend\src\modules\auth\auth.routes.ts","23","router.patch('/me', authenticateJWT, validate(updateMeSchema), authController.updateMe);","False","True"
"excellence-backend\src\modules\auth\auth.routes.ts","24","router.post('/password/change', authenticateJWT, validate(passwordChangeSchema), authController.changePassword);","False","True"
"excellence-backend\src\modules\auth\auth.routes.ts","25","router.patch('/me/name', authenticateJWT, authController.updateName);","False","True"
"excellence-backend\src\modules\auth\auth.routes.ts","26","router.post('/me/avatar', authenticateJWT, generalUpload.single('file'), authController.updateAvatar);","False","True"
"excellence-backend\src\modules\certificate\certificate.routes.ts","10","router.get('/verify/:cert_number', controller.verify);","False","True"
"excellence-backend\src\modules\certificate\certificate.routes.ts","13","router.get('/', controller.list);","False","True"
"excellence-backend\src\modules\certificate\certificate.routes.ts","14","router.post('/mint', controller.mint);","False","True"
"excellence-backend\src\modules\content\content.routes.ts","24","router.get('/notes/:noteId/files/:fileId/stream', validate(noteFileAccessSchema), controller.streamNoteFile);","False","True"
"excellence-backend\src\modules\institute\institute.routes.ts","14","router.get('/config', controller.getProfile);","False","True"
"excellence-backend\src\modules\institute\institute.routes.ts","15","router.put('/config', validate(updateInstituteSchema), controller.updateProfile);","False","True"
"excellence-backend\src\modules\notification\notification.routes.ts","20","router.get('/unread-count', NotificationController.getUnreadCount);","False","True"
"excellence-backend\src\modules\notification\notification.routes.ts","21","router.get('/', validate(listNotificationsQuerySchema), NotificationController.listMy);","False","True"
"excellence-backend\src\modules\notification\notification.routes.ts","22","router.post('/register-token', validate(registerDeviceTokenSchema), NotificationController.registerToken);","False","True"
"excellence-backend\src\modules\notification\notification.routes.ts","23","router.delete('/register-token', validate(unregisterDeviceTokenSchema), NotificationController.unregisterToken);","False","True"
"excellence-backend\src\modules\notification\notification.routes.ts","24","router.patch('/read-all', NotificationController.markAllRead);","False","True"
"excellence-backend\src\modules\notification\notification.routes.ts","25","router.patch('/:id/read', validate(markNotificationReadSchema), NotificationController.markRead);","False","True"
"excellence-backend\src\modules\notification\notification.routes.ts","26","router.delete('/:id', NotificationController.deleteMine);","False","True"
"excellence-backend\src\modules\parent\parent.routes.ts","15","router.get('/me/dashboard', ctrl.getDashboard);","True","False"
"excellence-backend\src\modules\parent\parent.routes.ts","16","router.get('/me/children', ctrl.getChildren);","True","False"
"excellence-backend\src\modules\parent\parent.routes.ts","17","router.get('/me/payments', ctrl.getPayments);","True","False"
"excellence-backend\src\modules\parent\parent.routes.ts","18","router.get('/me/children/:childId/report', ctrl.getChildReport);","True","False"
"excellence-backend\src\modules\payroll\payroll.routes.ts","11","router.get('/', controller.list);","False","True"
"excellence-backend\src\modules\payroll\payroll.routes.ts","12","router.get('/stats', controller.stats);","False","True"
"excellence-backend\src\modules\payroll\payroll.routes.ts","13","router.post('/generate', controller.generate);","False","True"
"excellence-backend\src\modules\upload\upload.routes.ts","10","router.get('/file/:key(*)', (req, res, next) => controller.downloadFile(req, res).catch(next));","False","True"
"excellence-backend\src\modules\users\users.routes.ts","12","router.get('/', ctrl.list);","False","True"
"excellence-backend\src\modules\users\users.routes.ts","13","router.get('/:id', ctrl.getUser);","False","True"
"excellence-backend\src\modules\users\users.routes.ts","14","router.patch('/:id/status', ctrl.updateStatus);","False","True"
"excellence-backend\src\modules\users\users.routes.ts","15","router.patch('/:id/role', ctrl.changeRole);","False","True"
"excellence-backend\src\modules\whatsapp\whatsapp.routes.ts","8","router.get('/webhook', controller.verifyWebhook);","False","True"
"excellence-backend\src\modules\whatsapp\whatsapp.routes.ts","11","router.post('/webhook', controller.receiveMessage);","False","True"
"excellence-backend\src\modules\youtube\youtube.routes.ts","10","router.get('/auth', controller.getAuthUrl);","False","True"
"excellence-backend\src\modules\youtube\youtube.routes.ts","14","router.get('/callback', controller.handleCallback);","False","True"
